Nume,Bucati,Pret/buc,Pret total,Observatii
picioare,6,0,0,
clema plinta,3.0,0,0.0,
surub 3.5x16,24,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.9,0,0.0,
sipca apa,0.9,0,0.0,
surub PFL,24,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
balama aplicata,3,0,0,
amortizor,2,0,0,
surub 3.5x16,12,0,0,
maner,1,0,0,
balama aplicata,3,0,0,
amortizor,2,0,0,
surub 3.5x16,12,0,0,
maner,1,0,0,
picioare,6,0,0,
clema plinta,3.0,0,0.0,
surub 3.5x16,24,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.9,0,0.0,
sipca apa,0.9,0,0.0,
surub PFL,24,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
balama aplicata,3,0,0,
amortizor,2,0,0,
surub 3.5x16,12,0,0,
maner,1,0,0,
balama aplicata,3,0,0,
amortizor,2,0,0,
surub 3.5x16,12,0,0,
maner,1,0,0,
picioare,4,0,0,
clema plinta,2.0,0,0.0,
surub 3.5x16,16,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.8,0,0.0,
sipca apa,0.8,0,0.0,
surub PFL,22,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
balama aplicata,3,0,0,
amortizor,2,0,0,
surub 3.5x16,12,0,0,
maner,1,0,0,
balama aplicata,3,0,0,
amortizor,2,0,0,
surub 3.5x16,12,0,0,
maner,1,0,0,
pereche glisiera 550 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,26,0,0,
pereche glisiera 550 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,26,0,0,
pereche glisiera 550 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,26,0,0,
maner,1,0,0,
maner,1,0,0,
maner,1,0,0,
picioare,4,0,0,
clema plinta,2.0,0,0.0,
surub 3.5x16,16,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.6,0,0.0,
sipca apa,0.6,0,0.0,
surub PFL,20,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.9,0,0.0,
surub diblu perete,4,0,0,
surub PFL,20,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.8,0,0.0,
surub diblu perete,4,0,0,
surub PFL,18,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.6,0,0.0,
surub diblu perete,3,0,0,
surub PFL,16,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
TOTAL picioare,20,0,0
TOTAL clema plinta,10.0,0,0.0
TOTAL surub 3.5x16,236,0,0
TOTAL surub blat,16,0,0
TOTAL surub,104,0,0
TOTAL plinta,3.2,0,0.0
TOTAL sipca apa,3.2,0,0.0
TOTAL surub PFL,234,0,0
TOTAL bolt polita,24,0,0
TOTAL balama aplicata,30,0,0
TOTAL amortizor,18,0,0
TOTAL maner,15,0,0
TOTAL pereche glisiera 550 mm,3,0,0
TOTAL pereche clema prindere perete,3,0,0
TOTAL sina perete,2.3000000000000003,0,0.0
TOTAL surub diblu perete,11,0,0
