Bucati,Lungime,Latime,Orientabila,Eticheta,L1,L2,l1,l2
1,900,600,0,C1.jos,1,,1,1
1,842,600,0,C1.lat,1,,,
1,842,600,0,C1.lat,1,,,
1,864,100,0,C1.leg1,1,1,,
1,864,100,0,C1.leg2,1,1,,
1,864,580,0,C1.pol,2,,,
1,900,600,0,C2.jos,1,,1,1
1,842,600,0,C2.lat,1,,,
1,842,600,0,C2.lat,1,,,
1,864,100,0,C2.leg1,1,1,,
1,864,100,0,C2.leg2,1,1,,
1,864,580,0,C2.pol,2,,,
1,800,600,0,C3.jos,1,,1,1
1,842,600,0,C3.lat,1,,,
1,842,600,0,C3.lat,1,,,
1,764,100,0,C3.leg1,1,1,,
1,764,100,0,C3.leg2,1,1,,
1,764,580,0,C3.pol,2,,,
1,587,200,0,C3.ser.left,1,,1,1
1,702,200,0,C3.ser.front,1,,,
1,702,200,0,C3.ser.back,1,,,
1,587,200,0,C3.ser.right,1,,1,1
1,587,200,0,C3.ser.left,1,,1,1
1,702,200,0,C3.ser.front,1,,,
1,702,200,0,C3.ser.back,1,,,
1,587,200,0,C3.ser.right,1,,1,1
1,587,100,0,C3.ser.left,1,,1,1
1,702,100,0,C3.ser.front,1,,,
1,702,100,0,C3.ser.back,1,,,
1,587,100,0,C3.ser.right,1,,1,1
1,600,600,0,C4.jos,1,,1,1
1,842,600,0,C4.lat,1,,,
1,842,600,0,C4.lat,1,,,
1,564,100,0,C4.leg1,1,1,,
1,564,100,0,C4.leg2,1,1,,
1,600,400,0,C5.lat1,1,,1,1
1,864,399,0,C5.jos,1,,,
1,600,400,0,C5.lat2,1,,1,1
1,864,399,0,C5.sus,1,,,
1,864,380,0,C5.pol,2,,,
1,600,400,0,c6.lat1,1,,1,1
1,764,399,0,c6.jos,1,,,
1,600,400,0,c6.lat2,1,,1,1
1,764,399,0,c6.sus,1,,,
1,764,380,0,c6.pol,2,,,
1,600,400,0,c7.lat1,1,,1,1
1,564,399,0,c7.jos,1,,,
1,600,400,0,c7.lat2,1,,1,1
1,564,399,0,c7.sus,1,,,
1,564,380,0,c7.pol,2,,,
