Length;Width;Qty;Label;Enabled
670;460;1;C9.jos;TRUE
794;460;1;C9.lat;TRUE
794;460;1;C9.lat;TRUE
634;100;1;C9.leg1;TRUE
634;100;1;C9.leg2;TRUE
634;440;1;C9.pol;TRUE
634;440;1;C9.pol;TRUE
2748;812;1;C9.spate1;TRUE
400;460;1;C9.intermediar;TRUE
400;460;1;C8.jos;TRUE
794;460;1;C8.lat;TRUE
794;460;1;C8.lat;TRUE
364;100;1;C8.leg1;TRUE
364;100;1;C8.leg2;TRUE
447;150;1;C8.ser.left;TRUE
302;150;1;C8.ser.front;TRUE
302;150;1;C8.ser.back;TRUE
447;150;1;C8.ser.right;TRUE
302;411;1;C8.ser.f;TRUE
447;150;1;C8.ser.left;TRUE
302;150;1;C8.ser.front;TRUE
302;150;1;C8.ser.back;TRUE
447;150;1;C8.ser.right;TRUE
302;411;1;C8.ser.f;TRUE
447;150;1;C8.ser.left;TRUE
302;150;1;C8.ser.front;TRUE
302;150;1;C8.ser.back;TRUE
447;150;1;C8.ser.right;TRUE
302;411;1;C8.ser.f;TRUE
396;218;1;C8.front;TRUE
396;218;1;C8.front;TRUE
396;218;1;C8.front;TRUE
400;460;1;C7.jos;TRUE
794;460;1;C7.lat;TRUE
794;460;1;C7.lat;TRUE
364;100;1;C7.leg1;TRUE
364;100;1;C7.leg2;TRUE
447;150;1;C7.ser.left;TRUE
302;150;1;C7.ser.front;TRUE
302;150;1;C7.ser.back;TRUE
447;150;1;C7.ser.right;TRUE
302;411;1;C7.ser.f;TRUE
447;150;1;C7.ser.left;TRUE
302;150;1;C7.ser.front;TRUE
302;150;1;C7.ser.back;TRUE
447;150;1;C7.ser.right;TRUE
302;411;1;C7.ser.f;TRUE
447;150;1;C7.ser.left;TRUE
302;150;1;C7.ser.front;TRUE
302;150;1;C7.ser.back;TRUE
447;150;1;C7.ser.right;TRUE
302;411;1;C7.ser.f;TRUE
396;218;1;C7.front;TRUE
396;218;1;C7.front;TRUE
396;218;1;C7.front;TRUE
400;460;1;C6.intermediar;TRUE
680;460;1;C6.jos;TRUE
794;460;1;C6.lat;TRUE
794;460;1;C6.lat;TRUE
644;100;1;C6.leg1;TRUE
644;100;1;C6.leg2;TRUE
644;440;1;C6.pol;TRUE
644;440;1;C6.pol;TRUE
812;442;1;C5.back1;TRUE
812;480;1;C5.back2;TRUE
442;462;1;C5.base;TRUE
442;462;1;C5.shelf;TRUE
442;462;1;C5.shelf;TRUE
1100;480;1;C4.jos;TRUE
794;480;1;C4.lat;TRUE
794;480;1;C4.lat;TRUE
1064;100;1;C4.leg1;TRUE
1064;100;1;C4.leg2;TRUE
467;50;1;C4.ser.left;TRUE
1002;50;1;C4.ser.front;TRUE
1002;50;1;C4.ser.back;TRUE
467;50;1;C4.ser.right;TRUE
1002;431;1;C4.ser.f;TRUE
467;100;1;C4.ser.left;TRUE
1002;100;1;C4.ser.front;TRUE
1002;100;1;C4.ser.back;TRUE
467;100;1;C4.ser.right;TRUE
1002;431;1;C4.ser.f;TRUE
467;200;1;C4.ser.left;TRUE
1002;200;1;C4.ser.front;TRUE
1002;200;1;C4.ser.back;TRUE
467;200;1;C4.ser.right;TRUE
1002;431;1;C4.ser.f;TRUE
1096;346;1;C4.front1;TRUE
1096;196;1;C4.front2;TRUE
1064;480;1;C4.sep.h;TRUE
1100;812;1;C4.spate;TRUE
580;480;1;C3.jos;TRUE
794;480;1;C3.lat;TRUE
794;480;1;C3.lat;TRUE
544;100;1;C3.leg1;TRUE
544;100;1;C3.leg2;TRUE
544;460;1;C3.pol;TRUE
544;460;1;C3.pol;TRUE
1600;530;1;C2.jos;TRUE
794;530;1;C2.lat;TRUE
794;530;1;C2.lat;TRUE
1564;100;1;C2.leg1;TRUE
1564;100;1;C2.leg2;TRUE
1564;510;1;C2.pol;TRUE
1564;510;1;C2.pol;TRUE
900;530;1;C1.jos;TRUE
794;530;1;C1.lat;TRUE
794;530;1;C1.lat;TRUE
864;100;1;C1.leg1;TRUE
864;100;1;C1.leg2;TRUE
864;100;1;C1.leg;TRUE
447;808;1;C1.front1;TRUE
447;808;1;C1.front1;TRUE
